x,y,r,g,b
0,0,0.0042, 0.0026, 0.008, 0.0088
0,1,0.0016, 0.0029, 0.0055, 0.0063
0,2,0.0013, 0.0074, 0.0012, 0.0096
0,3,0.0098, 0.0092, 0.0045, 0.0092
0,4,0.0072, 0.0004, 0.0075, 0.0044
0,5,0.0055, 0.0072, 0.0039, 0.003
0,6,0.0089, 0.0032, 0.006, 0.006
0,7,0.0069, 0.0016, 0.0003, 0.0013
0,8,0.0042, 0.0082, 0.0002, 0.0056
0,9,0.0012, 0.0057, 0.0018, 0.0024
0,10,0.003, 0.003, 0.0021, 0.0027
0,11,0.0024, 0.0066, 0.002, 0.0094
0,12,0.0071, 0.0095, 0.0038, 0.0025
0,13,0.0069, 0.0075, 0.0055, 0.0057
0,14,0.0006, 0.0017, 0.0019, 0.0076
1,0,0.0033, 0.002, 0.0089, 0.0073
1,1,0.0003, 0.0091, 0.003, 0.0016
1,2,0.0047, 0.0048, 0.004, 0.0077
1,3,0.0076, 0.0061, 0.0005, 0.0098
1,4,0.0026, 0.0023, 0.0092, 0.0095
1,5,0.002, 0.0031, 0.0021, 0.0087
1,6,0.0005, 0.0077, 0.0043, 0.0011
1,7,0.0092, 0.006, 0.0087, 0.0024
1,8,0.0079, 0.0077, 0.0097, 0.0082
1,9,0.0067, 0.0026, 0.0098, 0.0015
1,10,0.0072, 0.0037, 0.009, 0.0047
1,11,0.0096, 0.0095, 0.0047, 0.0024
1,12,0.002, 0.0038, 0.0018, 0.0038
1,13,0.0067, 0.004, 0.0024, 0.0072
1,14,0.0016, 0.0065, 0.0083, 0.0007
2,0,0.0025, 0.0072, 0.0031, 0.0005
2,1,0.0048, 0.0027, 0.0085, 0.0017
2,2,0.0051, 0.0085, 0.0032, 0.0024
2,3,0.0021, 0.0024, 0.0069, 0.0017
2,4,0.0018, 0.0017, 0.0039, 0.0036
2,5,0.0053, 0.0057, 0.0072, 0.0021
2,6,0.0095, 0.0094, 0.0093, 0.0012
2,7,0.0061, 0.0078, 0.0019, 0.0084
2,8,0.0051, 0.0048, 0.0089, 0
2,9,0.0073, 0.0075, 0.0015, 0.0025
2,10,0.0059, 0.0046, 0.0047, 0.0079
2,11,0.0068, 0.0018, 0.0096, 0.0086
2,12,0.0033, 0.0036, 0.0022, 0.0087
2,13,0.0091, 0.0094, 0.0009, 0.0088
2,14,0.009, 0.0002, 0.0098, 0.005
3,0,0.008, 0.0017, 0.0035, 0.0032
3,1,0.0065, 0.0023, 0.003, 0.0038
3,2,0.0096, 0.0046, 0.0061, 0.0055
3,3,0.0092, 0.001, 0.0035, 0.0061
3,4,0.0026, 0.003, 0.0046, 0.0057
3,5,0.0064, 0.0068, 0.0043, 0.0056
3,6,0.0062, 0.0051, 0.0045, 0.0053
3,7,0.0053, 0.0043, 0.0004, 0.0034
3,8,0.006, 0.0037, 0.0064, 0.0026
3,9,0.006, 0.0092, 0.0062, 0.0057
3,10,0.0037, 0.0025, 0.0013, 0.0028
3,11,0.0035, 0.0046, 0.0089, 0.0059
3,12,0.0074, 0.0035, 0.0017, 0.0039
3,13,0.0002, 0.0059, 0.0094, 0.0064
3,14,0.0011, 0.0038, 0.0018, 0.0064
4,0,0.0081, 0.002, 0.0098, 0.0042
4,1,0.0057, 0.0061, 0.0067, 0.0016
4,2,0.0054, 0.003, 0.0074, 0.0092
4,3,0.0055, 0.0085, 0.0021, 0.0088
4,4,0.0031, 0.001, 0.0046, 0.0006
4,5,0.0043, 0.0062, 0.0044, 0.0045
4,6,0.0022, 0.0039, 0.0009, 0.0033
4,7,0.0075, 0.0025, 0.0095, 0.0058
4,8,0.0046, 0.0092, 0.0001, 0.0002
4,9,0.0054, 0.0066, 0.0019, 0.0007
4,10,0.0095, 0.0091, 0, 0.0051
4,11,0.0075, 0.002, 0.0039, 0.0007
4,12,0.0028, 0.0083, 0.0012, 0.0071
4,13,0.0046, 0.0054, 0.0015, 0.0068
4,14,0.0091, 0.0024, 0, 0.0067
5,0,0.005, 0.0095, 0.0026, 0.0094
5,1,0.0088, 0.0026, 0.0096, 0.0041
5,2,0.009, 0.0014, 0.0049, 0.0086
5,3,0.0006, 0.0047, 0.0037, 0.008
5,4,0.0067, 0.0076, 0.0087, 0.0093
5,5,0.006, 0.0097, 0.0063, 0.0006
5,6,0.0052, 0.0079, 0.0074, 0.0042
5,7,0.0002, 0.0075, 0.0011, 0.005
5,8,0.0069, 0.0035, 0.0045, 0.0059
5,9,0.0061, 0.0041, 0.0001, 0.0053
5,10,0.0053, 0.005, 0.0038, 0.006
5,11,0.0096, 0.0075, 0.0041, 0.0064
5,12,0.0052, 0.0027, 0.0057, 0.0012
5,13,0.0024, 0.0021, 0.0018, 0.0074
5,14,0.0098, 0.009, 0.0018, 0.0002
6,0,0.0064, 0.0029, 0.005, 0.0035
6,1,0.0064, 0.0094, 0.0092, 0.0025
6,2,0.0036, 0.0091, 0.0076, 0.0089
6,3,0.0041, 0.0015, 0.0048, 0.0038
6,4,0.0091, 0.0087, 0.0001, 0.0042
6,5,0.0014, 0.0058, 0.0052, 0.0038
6,6,0.008, 0.0068, 0.0013, 0.0077
6,7,0.006, 0.0029, 0.0077, 0.0023
6,8,0.0058, 0.0029, 0.0056, 0.0022
6,9,0.0024, 0.0049, 0.0045, 0.0058
6,10,0.0042, 0.0022, 0.0048, 0.0083
6,11,0.0035, 0.0095, 0.002, 0.0025
6,12,0.0083, 0.0021, 0.0066, 0.0097
6,13,0.008, 0.0019, 0.0034, 0.0059
6,14,0.0088, 0.0046, 0.0037, 0.0047
7,0,0.0075, 0.0016, 0.0068, 0.0033
7,1,0.0043, 0.0026, 0.0055, 0.0067
7,2,0.0075, 0.0098, 0.0026, 0.0016
7,3,0.0019, 0.0072, 0.0097, 0.0054
7,4,0.0066, 0.0018, 0.008, 0.0049
7,5,0.004, 0.0047, 0.0045, 0.0019
7,6,0.0064, 0.008, 0.0078, 0.0051
7,7,0.0027, 0.0014, 0.0096, 0.0003
7,8,0.779768, 0.740369, 1.55755, 3.12364
7,9,1.05464, 0.996256, 2.09475, 4.20052
7,10,1.35696, 1.27959, 2.70476, 5.40893
7,11,1.64716, 1.56036, 3.29344, 6.59336
7,12,1.86674, 1.76686, 3.73828, 7.49113
7,13,1.95894, 1.85175, 3.90692, 7.82906
7,14,1.87408, 1.76637, 3.73358, 7.4877
8,0,0.0049, 0, 0.0005, 0.0076
8,1,0.0066, 0.0042, 0.0046, 0.0057
8,2,0.003, 0.0084, 0.0025, 0.002
8,3,0.0046, 0.0009, 0.0026, 0.0081
8,4,0.009, 0.0087, 0.0082, 0.0089
8,5,0.0028, 0.0032, 0.0029, 0.0014
8,6,0.003, 0.0087, 0.0063, 0.0005
8,7,0.0023, 0.0066, 0.0009, 0.0071
8,8,1.05187, 0.988942, 2.09564, 4.19676
8,9,1.46217, 1.38488, 2.92208, 5.85159
8,10,1.95796, 1.84333, 3.90164, 7.82642
8,11,2.46834, 2.33238, 4.93307, 9.89413
8,12,2.88191, 2.72847, 5.76052, 11.5575
8,13,3.04388, 2.87612, 6.09008, 12.2071
8,14,2.882, 2.72237, 5.76546, 11.5569
9,0,0.0086, 0.006, 0.001, 0.005
9,1,0.0073, 0.0056, 0.0078, 0.0027
9,2,0.0047, 0.0064, 0.0012, 0.0024
9,3,0.0076, 0.0016, 0.0045, 0.0096
9,4,0.0045, 0.0048, 0.0007, 0.0061
9,5,0.0033, 0.0008, 0.0006, 0.005
9,6,0.0038, 0.0064, 0.0095, 0.0054
9,7,0.0085, 0.0045, 0.0094, 0.0072
9,8,1.34898, 1.27368, 2.69865, 5.41583
9,9,1.9564, 1.84226, 3.90174, 7.82476
9,10,2.73754, 2.58115, 5.46538, 10.9594
9,11,3.62816, 3.43098, 7.25392, 14.5482
9,12,4.41668, 4.17361, 8.8327, 17.7126
9,13,4.74977, 4.48522, 9.48988, 19.0401
9,14,4.41535, 4.17865, 8.83336, 17.7161
10,0,0.0044, 0.0038, 0.0065, 0.0049
10,1,0.0041, 0.0084, 0.0029, 0
10,2,0.0085, 0.0034, 0.0006, 0.0049
10,3,0.0049, 0.0034, 0.0089, 0.008
10,4,0.0008, 0.0027, 0.0056, 0.003
10,5,0.0072, 0.0093, 0.0084, 0.0026
10,6,0.0037, 0.0088, 0.0016, 0.0044
10,7,0.0087, 0.0059, 0.0036, 0.0031
10,8,1.65325, 1.55241, 3.2953, 6.59699
10,9,2.47466, 2.33015, 4.93657, 9.89968
10,10,3.62921, 3.42791, 7.252, 14.5497
10,11,5.12797, 4.83689, 10.2481, 20.5478
10,12,6.66611, 6.29539, 13.3275, 26.7266
10,13,7.40195, 6.98909, 14.803, 29.6874
10,14,6.67111, 6.29715, 13.326, 26.7328
11,0,0.0007, 0.0036, 0.0007, 0.0003
11,1,0.0036, 0.0087, 0.0042, 0.002
11,2,0.0096, 0.008, 0.0087, 0.0037
11,3,0.0024, 0.0005, 0.0028, 0.0001
11,4,0.001, 0, 0.0086, 0.0045
11,5,0.0026, 0.0002, 0.0051, 0.0047
11,6,0.0002, 0.0083, 0.0005, 0.0091
11,7,0.0029, 0.0006, 0.0065, 0.0034
11,8,1.87056, 1.76999, 3.73691, 7.49465
11,9,2.88587, 2.72799, 5.76952, 11.5582
11,10,4.4202, 4.17713, 8.83783, 17.7151
11,11,6.67083, 6.29465, 13.3335, 26.7348
11,12,9.60227, 9.07337, 19.2051, 38.5133
11,13,11.5473, 10.908, 23.0905, 46.2994
